id,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,
180,8777,8047,8194,8680,8101,7118,7051,7022,8020,7610,7855,6752,8616,10748,6524,6925,6561,2187,6323,8085,8369,9090,
181,19365,14587,14165,14440,13895,14334,12127,13221,13989,12453,11110,9433,14625,24520,14278,12239,12677,4614,13106,16107,16203,19267,
182,393890,375100,369238,374647,412144,291917,352763,385051,395803,383913,138211,18628,159862,394891,258868,265697,259976,135060,302188,372807,386293,395513,
183,120745,115904,115098,119235,66498,17127,20549,24343,24463,24468,8047,0,43043,113258,71619,78853,65899,45661,97083,124482,130228,129133,
184,66434,61018,60711,64676,31990,0,0,1,0,0,0,0,26482,70934,45890,53125,40567,31500,67554,87671,77091,68950,
185,64402,58195,91048,115807,124674,107297,93260,115140,113374,102493,77303,71313,96917,104906,68080,74186,71016,48284,99557,86292,56965,62271,
186,158560,139842,135736,139745,140049,138817,109976,141659,142207,120893,117223,103274,152347,195818,128246,142338,143653,44928,151199,143690,148856,178758,
187,149504,144741,140266,135851,142323,106618,125091,135022,135688,134526,43360,0,47114,131864,87482,86179,79076,53750,116929,137742,141035,152274,
188,18269,18224,21589,23367,18333,12726,13902,15194,15213,12962,3489,0,5524,12394,7654,9691,8312,7924,15567,17907,18528,18397,
189,20624,17477,17664,20673,18192,13035,15836,17479,16437,16045,5853,0,7121,18563,14671,12103,11488,6919,14801,18997,18483,20046,
190,375187,348493,338601,335733,382192,300216,289340,378950,393411,204731,0,0,139208,372867,243377,264144,248600,164852,362629,345734,350691,350626,
191,36734,33567,32474,32667,37149,27917,28655,37887,38356,17013,0,0,18441,50943,31048,32392,33158,13521,35666,33065,36817,34676,
192,380512,334155,318999,317468,358558,281169,265346,340720,345688,302967,248193,214197,269217,350731,231025,234884,220435,158146,344755,330559,354241,374616,
193,125202,105620,108356,103260,101777,107095,90367,104060,111118,100709,95244,79360,106256,111912,73803,76220,78225,32415,83233,106306,106771,121541,
194,241050,217707,208287,199616,212765,176726,168513,219171,214567,115315,1,5,95289,255106,157663,168438,149714,103652,211781,215104,234831,240460,
195,31731,32104,29040,29944,29140,22599,18291,30906,16294,13212,0,0,9999,32595,26276,22010,21219,6752,29589,31758,29424,33331,
196,103695,92601,91529,95446,104949,86106,79458,99592,101181,59032,10011,9305,47441,102737,71386,75500,68014,49786,107472,103403,105957,110462,
197,88283,79063,76585,78552,89577,66400,67051,86683,81115,44035,4215,4266,33969,91551,59873,63119,60391,39807,87028,82843,79153,89333,
198,506004,425269,419934,407763,468853,389253,378708,456304,464256,450265,423904,387091,446257,545098,341462,309947,295001,241381,448916,404637,446750,485446,
199,3066,3505,5025,6168,8118,8905,5885,8378,8361,8135,6140,6888,8776,10538,7456,6130,7087,2826,7284,4658,3021,2769,
200,34209,33257,51952,70297,81847,77827,59716,80909,77770,78683,59502,59735,77069,83557,60482,61230,63316,30521,66846,52973,29277,31700,
201,3844,3412,6054,7887,8823,8647,7552,8660,8704,8910,7340,6854,9061,10077,6913,7160,7233,3613,8466,6123,3887,4062,
202,2259,2371,3833,5075,4652,4842,4463,5289,5035,5086,4439,4428,5475,6969,4709,4525,5303,1865,5006,3512,2097,2423,
203,1844,2001,3144,4571,4467,5344,1270,4320,4431,4922,3751,3776,3756,4664,3013,3233,3147,1856,4687,3350,1748,1476,
204,720,1006,3214,4658,5040,5049,4185,5059,5004,4809,4015,4275,4835,5771,3339,3331,3619,1724,4236,3278,2775,618,
205,10985,9605,12961,17179,20630,17922,17432,21114,22794,24005,17473,16647,22338,26645,15796,15124,15465,6720,14570,12160,8047,8859,
206,735,1422,2036,2254,2497,2760,1912,3336,2162,2488,1851,2082,2725,3245,1758,1772,1380,764,2535,1821,1028,829,
207,12233,11966,17612,23195,25989,25590,21123,30104,20083,8413,24407,23817,25846,27603,25165,25493,20661,8311,21044,16621,10317,11300,
208,2555,3207,4196,5891,6973,6381,4796,6233,6602,6155,5241,7184,7441,7715,5087,5059,5537,2265,5208,4068,2052,2799,
209,26843,31077,36378,40851,41373,44107,37147,48282,43845,44087,44087,41378,52401,55677,37657,38299,41250,13277,32082,35959,29975,32025,
210,2732,2616,2646,4559,5397,5625,4826,2990,4120,0,3427,5487,5157,7488,5682,5927,5789,2091,5294,4164,2380,2546,
211,12402,13167,19156,26054,28486,28521,20653,30532,28829,30711,23720,25203,31328,35449,25191,23479,25411,9519,20778,17484,11525,12291,
212,197585,190909,189115,185884,202984,201390,165014,194185,214496,198539,199608,170525,214049,240053,163750,182321,184646,55379,140725,186419,195662,194037,
213,7250,6917,7341,7449,6989,7351,5856,7532,7585,8253,7265,6904,8908,11871,8159,7589,7304,2322,5602,6894,7327,8061,
214,10455,10240,10777,11016,10952,11483,9114,10642,11528,12169,11794,10139,13015,15808,12565,11006,11465,3007,8481,9556,10439,10562,
